FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,WHH,WHD,WHA
0.0,2.0,A,0.0,1.0,A,2.62,3.2,2.37,2.62,3.1,2.37
0.0,0.0,D,0.0,0.0,D,1.72,3.25,4.33,1.66,3.3,4.5
2.0,2.0,D,1.0,0.0,H,2.2,3.25,2.8,2.0,3.2,3.2
2.0,3.0,A,1.0,2.0,A,2.2,3.25,2.8,2.25,3.3,2.62
0.0,2.0,A,0.0,0.0,D,2.3,3.2,2.7,2.25,3.2,2.75
1.0,0.0,H,0.0,0.0,D,1.8,3.25,4.0,1.83,3.3,3.6
2.0,3.0,A,0.0,0.0,D,2.5,3.2,2.5,2.4,3.1,2.6
0.0,2.0,A,0.0,1.0,A,4.33,3.25,1.72,4.0,3.4,1.72
1.0,0.0,H,0.0,0.0,D,1.833,3.25,3.75,1.72,3.2,4.33
5.0,0.0,H,2.0,0.0,H,1.571,3.6,5.0,1.53,3.4,5.5
3.0,0.0,H,1.0,0.0,H,1.286,4.5,9.0,1.25,5.0,8.0
1.0,1.0,D,0.0,1.0,A,1.909,3.25,3.5,1.83,3.2,3.75
5.0,1.0,H,1.0,0.0,H,1.615,3.4,5.0,1.61,3.3,5.0
2.0,2.0,D,1.0,2.0,A,1.8,3.25,4.0,1.8,3.3,3.75
2.0,0.0,H,1.0,0.0,H,1.667,3.4,4.5,1.57,3.5,5.0
2.0,1.0,H,1.0,0.0,H,1.444,3.75,6.5,1.33,4.0,8.0
3.0,1.0,H,2.0,1.0,H,1.571,3.4,5.5,1.44,3.6,6.5
1.0,0.0,H,0.0,0.0,D,2.3,3.2,2.7,2.3,3.2,2.62
