FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
0,0,D,0,0,D,4.0,3.25,1.8,3.65,3.3,1.9,3.6,3.1,1.85,3.75,3.25,1.8,3.75,3.25,1.85,3.5,3.2,1.9
2,1,H,1,1,D,1.61,3.4,5.0,1.65,3.4,5.0,1.7,3.2,4.2,1.667,3.4,4.333,1.61,3.4,5.0,1.66,3.3,4.5
1,0,H,0,0,D,1.727,3.5,4.0,1.76,3.4,4.15,1.75,3.2,4.0,1.727,3.4,4.0,1.8,3.2,4.0,1.66,3.3,4.5
1,0,H,1,0,H,1.615,3.4,5.0,1.62,3.5,5.0,1.7,3.2,4.2,1.615,3.5,4.5,1.61,3.4,5.0,1.57,3.5,5.0
4,1,H,2,0,H,1.727,3.5,4.0,1.75,3.35,4.35,1.7,3.2,4.2,1.727,3.4,4.0,1.75,3.4,4.0,1.72,3.4,4.0
1,1,D,0,1,A,1.615,3.4,5.0,1.7,3.45,4.5,1.7,3.2,4.2,1.667,3.25,4.5,1.66,3.4,4.5,1.66,3.3,4.5
1,1,D,0,0,D,1.909,3.25,3.5,1.85,3.3,3.75,1.75,3.3,3.8,1.8,3.2,4.0,1.9,3.25,3.5,1.83,3.3,3.6
0,2,A,0,1,A,2.2,3.25,2.8,2.2,3.25,2.95,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.2,2.8,2.25,3.2,2.75
1,3,A,0,2,A,2.1,3.25,3.0,2.1,3.35,3.1,2.0,3.1,3.2,2.0,3.2,3.2,2.1,3.25,3.0,2.0,3.1,3.3
2,1,H,1,1,D,2.625,3.2,2.375,2.6,3.25,2.45,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.1,2.5
2,1,H,1,1,D,1.833,3.25,3.75,1.83,3.4,3.9,1.85,3.1,3.6,1.8,3.25,3.75,1.8,3.25,4.0,1.72,3.2,4.33
2,3,A,0,1,A,2.5,3.2,2.5,2.55,3.15,2.55,2.5,3.0,2.5,2.4,3.25,2.5,2.4,3.2,2.6,2.4,3.1,2.6
3,0,H,0,0,D,2.5,3.2,2.5,2.4,3.25,2.65,2.3,3.0,2.7,2.25,3.4,2.625,2.6,3.2,2.4,2.37,3.1,2.62
0,6,A,0,3,A,4.0,3.25,1.8,4.0,3.3,1.8,3.8,3.1,1.8,3.75,3.25,1.8,3.5,3.25,1.9,3.5,3.2,1.9
3,0,H,1,0,H,1.444,3.75,6.5,1.47,3.6,7.0,1.5,3.7,5.0,1.5,3.4,6.0,1.44,3.6,7.0,1.5,3.4,6.0
