FTHG,FTAG,FTR,HTHG,HTAG,HR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA
3.0,0.0,H,2.0,0.0,0.0,1.44,4.33,7.5,1.5,3.8,6.7,1.44,4.2,7.5,1.44,4.33,7.5
0.0,0.0,D,0.0,0.0,0.0,5.25,3.8,1.67,4.6,3.5,1.75,5.0,3.5,1.73,5.0,3.8,1.67
2.0,1.0,H,1.0,1.0,0.0,4.2,3.4,1.91,3.9,3.3,1.9,4.33,3.5,1.83,4.2,3.4,1.91
2.0,0.0,H,0.0,0.0,0.0,1.91,3.4,4.2,1.85,3.4,4.0,1.83,3.4,4.5,1.85,3.5,4.33
0.0,4.0,A,0.0,1.0,0.0,8.0,4.2,1.44,6.5,3.9,1.5,7.5,4.2,1.44,8.0,4.2,1.44
2.0,3.0,A,1.0,0.0,0.0,2.1,3.3,3.6,2.1,3.25,3.4,2.05,3.25,3.6,2.1,3.3,3.6
2.0,1.0,H,1.0,0.0,0.0,2.38,3.25,3.1,2.4,3.2,2.85,2.3,3.2,3.2,2.4,3.3,3.0
2.0,2.0,D,0.0,0.0,0.0,2.88,3.25,2.5,2.6,3.2,2.6,2.8,3.3,2.5,2.9,3.25,2.5
1.0,0.0,H,1.0,0.0,0.0,2.1,3.3,3.6,2.0,3.3,3.6,2.1,3.3,3.5,2.2,3.3,3.4
1.0,0.0,H,0.0,0.0,0.0,2.1,3.3,3.6,2.1,3.25,3.4,2.15,3.3,3.4,2.05,3.2,3.5
3.0,3.0,D,2.0,2.0,0.0,4.5,3.6,1.8,4.0,3.4,1.85,4.5,3.5,1.8,4.5,3.6,1.73
1.0,1.0,D,0.0,0.0,0.0,2.63,3.25,2.75,2.6,3.2,2.6,2.62,3.3,2.62,2.5,3.2,2.75
3.0,3.0,D,2.0,2.0,0.0,1.25,5.5,15.0,1.27,4.9,11.0,1.22,5.5,15.0,1.2,5.5,15.0
0.0,0.0,D,0.0,0.0,0.0,2.8,3.25,2.6,2.7,3.2,2.5,2.8,3.3,2.5,2.75,3.2,2.5
0.0,1.0,A,0.0,1.0,0.0,1.5,4.2,7.0,1.4,4.3,7.5,1.5,4.0,7.0,1.44,4.0,7.5
2.0,2.0,D,1.0,1.0,0.0,2.1,3.3,3.6,2.0,3.3,3.6,2.1,3.3,3.5,2.0,3.2,3.75
1.0,1.0,D,1.0,0.0,0.0,1.8,3.5,4.75,1.75,3.5,4.6,1.8,3.5,4.5,1.73,3.4,4.75
